"code","name","lat","long","metro"
"ORD","ORD - O'Hare International Airport",41.974163,-87.90732,39
"FRA","FRA - Frankfurt Airport",50.037933,8.562152,245
"IST","IST - Istanbul Atatürk Airport",40.98299,28.810442,21
"DFW","DFW - Dallas/Fort Worth International Airport",32.89981,-97.04034,66
"AMS","AMS - Amsterdam Airport Schiphol",52.31054,4.7682743,186
"CDG","CDG - Charles de Gaulle Airport (Roissy Airport)",49.00969,2.5479245,20
"MIA","MIA - Miami International Airport",25.795864,-80.28705,65
"DEN","DEN - Denver International Airport",39.8561,-104.67374,178
"ATL","ATL - Hartsfield–Jackson Atlanta International Airport",33.640728,-84.427704,108
"LAX","LAX - Los Angeles International Airport",33.94159,-118.40853,23
"DXB","DXB - Dubai International Airport",25.253174,55.365673,218
"LHR","LHR - Heathrow Airport",51.470024,-0.4542955,34
"JFK","JFK - John F. Kennedy International Airport",40.64131,-73.77814,5
"YYZ","YYZ - Toronto Pearson International Airport",43.67772,-79.62482,81
"IAD","IAD - Washington Dulles International Airport",38.953117,-77.456535,3193
"EWR","EWR - Newark Liberty International Airport",40.689533,-74.17446,5
"VIE","VIE - Vienna International Airport",48.115833,16.566576,400
"CLT","CLT - Charlotte Douglas International Airport",35.2144,-80.94731,357
"MAD","MAD - Adolfo Suárez Madrid–Barajas Airport",40.498333,-3.567598,77
"MUC","MUC - Munich Airport",48.35366,11.775028,316
"IAH","IAH - George Bush Intercontinental Airport",29.99022,-95.336784,114
"BCN","BCN - Barcelona–El Prat Airport",41.297443,2.0832942,101
"DUB","DUB - Dublin Airport",53.42645,-6.24991,1053
"STN","STN - London Stansted Airport",51.886017,0.2388661,5443
"LAS","LAS - McCarran International Airport",36.084,-115.15374,260
"SFO","SFO - San Francisco International Airport",37.62131,-122.37895,99
"ZRH","ZRH - Zürich Airport",47.458218,8.555475,381
"TEB","TEB - Teterboro Airport",40.858334,-74.0615,5
"FCO","FCO - Leonardo da Vinci–Fiumicino Airport",41.79989,12.246239,224
"BOS","BOS - Logan International Airport",42.365612,-71.00956,85
"BRU","BRU - Brussels Airport (Zaventem Airport)",50.900997,4.4855742,125
"MAN","MAN - Manchester Airport",53.358803,-2.2727304,347
"LGW","LGW - Gatwick Airport",51.153664,-0.1820629,1008
"CAN","CAN - Guangzhou Baiyun International Airport",23.395908,113.30797,9
"ORY","ORY - Orly Airport",48.726242,2.3652472,20
"PMI","PMI - Palma de Mallorca Airport",39.551743,2.7361648,1001
"MSP","MSP - Minneapolis–Saint Paul International Airport (Wold–Chamberlain Field)",44.884754,-93.22228,160
"ARN","ARN - Stockholm Arlanda Airport",59.64976,17.92378,2022
