"lat","long","r","c","a","coastline"
71.3,-180,188,1,1,1
71,-180,191,1,1,1
68.6,-180,215,1,1,1
65.9,-180,242,1,1,1
65.5,-180,246,1,1,1
65.2,-180,249,1,1,1
-90,-180,1801,1,1,1
71.3,-179.9,188,2,1,1
71,-179.9,191,2,1,1
68.6,-179.9,215,2,1,1
65.9,-179.9,242,2,1,1
65.5,-179.9,246,2,1,1
65.2,-179.9,249,2,1,1
-90,-179.9,1801,2,1,1
71.3,-179.8,188,3,1,1
71,-179.8,191,3,1,1
68.6,-179.8,215,3,1,1
65.9,-179.8,242,3,1,1
65.5,-179.8,246,3,1,1
65.2,-179.8,249,3,1,1
-90,-179.8,1801,3,1,1
71.4,-179.7,187,4,1,1
70.9,-179.7,192,4,1,1
68.7,-179.7,214,4,1,1
65.9,-179.7,242,4,1,1
65.6,-179.7,245,4,1,1
65.5,-179.7,246,4,1,1
65.2,-179.7,249,4,1,1
-84.9,-179.7,1750,4,1,1
-85,-179.7,1751,4,1,1
-85.1,-179.7,1752,4,1,1
-85.2,-179.7,1753,4,1,1
-85.3,-179.7,1754,4,1,1
-85.4,-179.7,1755,4,1,1
-85.5,-179.7,1756,4,1,1
-85.6,-179.7,1757,4,1,1
-85.7,-179.7,1758,4,1,1
-85.8,-179.7,1759,4,1,1
-85.9,-179.7,1760,4,1,1
-86,-179.7,1761,4,1,1
-86.1,-179.7,1762,4,1,1
-86.2,-179.7,1763,4,1,1
-86.3,-179.7,1764,4,1,1
-86.4,-179.7,1765,4,1,1
-86.5,-179.7,1766,4,1,1
-86.6,-179.7,1767,4,1,1
-86.7,-179.7,1768,4,1,1
-86.8,-179.7,1769,4,1,1
-86.9,-179.7,1770,4,1,1
-87,-179.7,1771,4,1,1
-87.1,-179.7,1772,4,1,1
-87.2,-179.7,1773,4,1,1
-87.3,-179.7,1774,4,1,1
-87.4,-179.7,1775,4,1,1
-87.5,-179.7,1776,4,1,1
-87.6,-179.7,1777,4,1,1
-87.7,-179.7,1778,4,1,1
-87.8,-179.7,1779,4,1,1
-87.9,-179.7,1780,4,1,1
-88,-179.7,1781,4,1,1
-88.1,-179.7,1782,4,1,1
-88.2,-179.7,1783,4,1,1
-88.3,-179.7,1784,4,1,1
-88.4,-179.7,1785,4,1,1
-88.5,-179.7,1786,4,1,1
-88.6,-179.7,1787,4,1,1
-88.7,-179.7,1788,4,1,1
-88.8,-179.7,1789,4,1,1
-88.9,-179.7,1790,4,1,1
-89,-179.7,1791,4,1,1
-89.1,-179.7,1792,4,1,1
-89.2,-179.7,1793,4,1,1
-89.3,-179.7,1794,4,1,1
-89.4,-179.7,1795,4,1,1
-89.5,-179.7,1796,4,1,1
-89.6,-179.7,1797,4,1,1
-89.7,-179.7,1798,4,1,1
-89.8,-179.7,1799,4,1,1
-89.9,-179.7,1800,4,1,1
71.4,-179.6,187,5,1,1
70.9,-179.6,192,5,1,1
68.7,-179.6,214,5,1,1
65.9,-179.6,242,5,1,1
65.4,-179.6,247,5,1,1
65.2,-179.6,249,5,1,1
-84.8,-179.6,1749,5,1,1
71.4,-179.5,187,6,1,1
70.9,-179.5,192,6,1,1
68.7,-179.5,214,6,1,1
66,-179.5,241,6,1,1
65.3,-179.5,248,6,1,1
-84.7,-179.5,1748,6,1,1
71.4,-179.4,187,7,1,1
70.9,-179.4,192,7,1,1
68.6,-179.4,215,7,1,1
66,-179.4,241,7,1,1
-84.7,-179.4,1748,7,1,1
71.4,-179.3,187,8,1,1
70.9,-179.3,192,8,1,1
68.6,-179.3,215,8,1,1
66,-179.3,241,8,1,1
-84.6,-179.3,1747,8,1,1
71.4,-179.2,187,9,1,1
70.9,-179.2,192,9,1,1
68.6,-179.2,215,9,1,1
66,-179.2,241,9,1,1
-84.5,-179.2,1746,9,1,1
71.4,-179.1,187,10,1,1
70.9,-179.1,192,10,1,1
68.5,-179.1,216,10,1,1
66,-179.1,241,10,1,1
-84.5,-179.1,1746,10,1,1
71.4,-179,187,11,1,1
70.9,-179,192,11,1,1
68.5,-179,216,11,1,1
66,-179,241,11,1,1
-84.4,-179,1745,11,1,1
71.4,-178.9,187,12,1,1
70.9,-178.9,192,12,1,1
68.5,-178.9,216,12,1,1
66.1,-178.9,240,12,1,1
-84.4,-178.9,1745,12,1,1
71.4,-178.8,187,13,1,1
70.9,-178.8,192,13,1,1
68.4,-178.8,217,13,1,1
66.1,-178.8,240,13,1,1
65.7,-178.8,244,13,1,1
-84.4,-178.8,1745,13,1,1
71.3,-178.7,188,14,1,1
70.9,-178.7,192,14,1,1
68.4,-178.7,217,14,1,1
66.1,-178.7,240,14,1,1
65.8,-178.7,243,14,1,1
65.7,-178.7,244,14,1,1
-84.5,-178.7,1746,14,1,1
71.3,-178.6,188,15,1,1
70.9,-178.6,192,15,1,1
68.4,-178.6,217,15,1,1
66.1,-178.6,240,15,1,1
65.9,-178.6,242,15,1,1
65.6,-178.6,245,15,1,1
-84.5,-178.6,1746,15,1,1
71.3,-178.5,188,16,1,1
70.9,-178.5,192,16,1,1
68.3,-178.5,218,16,1,1
66,-178.5,241,16,1,1
