"name","lev","p1","p2","p3","p4"
"Arts & Entertainment",1,"Arts & Entertainment","Arts & Entertainment","Arts & Entertainment","Arts & Entertainment"
"Amphitheater",2,"Arts & Entertainment","Amphitheater","Amphitheater","Amphitheater"
"Aquarium",2,"Arts & Entertainment","Aquarium","Aquarium","Aquarium"
"Arcade",2,"Arts & Entertainment","Arcade","Arcade","Arcade"
"Art Gallery",2,"Arts & Entertainment","Art Gallery","Art Gallery","Art Gallery"
"Bowling Alley",2,"Arts & Entertainment","Bowling Alley","Bowling Alley","Bowling Alley"
"Casino",2,"Arts & Entertainment","Casino","Casino","Casino"
"Circus",2,"Arts & Entertainment","Circus","Circus","Circus"
"Comedy Club",2,"Arts & Entertainment","Comedy Club","Comedy Club","Comedy Club"
"Concert Hall",2,"Arts & Entertainment","Concert Hall","Concert Hall","Concert Hall"
"Country Dance Club",2,"Arts & Entertainment","Country Dance Club","Country Dance Club","Country Dance Club"
"Disc Golf",2,"Arts & Entertainment","Disc Golf","Disc Golf","Disc Golf"
"Escape Room",2,"Arts & Entertainment","Escape Room","Escape Room","Escape Room"
"Exhibit",2,"Arts & Entertainment","Exhibit","Exhibit","Exhibit"
"General Entertainment",2,"Arts & Entertainment","General Entertainment","General Entertainment","General Entertainment"
"Go Kart Track",2,"Arts & Entertainment","Go Kart Track","Go Kart Track","Go Kart Track"
"Historic Site",2,"Arts & Entertainment","Historic Site","Historic Site","Historic Site"
"Karaoke Box",2,"Arts & Entertainment","Karaoke Box","Karaoke Box","Karaoke Box"
"Laser Tag",2,"Arts & Entertainment","Laser Tag","Laser Tag","Laser Tag"
"Memorial Site",2,"Arts & Entertainment","Memorial Site","Memorial Site","Memorial Site"
"Mini Golf",2,"Arts & Entertainment","Mini Golf","Mini Golf","Mini Golf"
"Movie Theater",2,"Arts & Entertainment","Movie Theater","Movie Theater","Movie Theater"
"Drive-in Theater",3,"Arts & Entertainment","Movie Theater","Drive-in Theater","Drive-in Theater"
"Indie Movie Theater",3,"Arts & Entertainment","Movie Theater","Indie Movie Theater","Indie Movie Theater"
"Multiplex",3,"Arts & Entertainment","Movie Theater","Multiplex","Multiplex"
"Museum",2,"Arts & Entertainment","Museum","Museum","Museum"
"Art Museum",3,"Arts & Entertainment","Museum","Art Museum","Art Museum"
"Erotic Museum",3,"Arts & Entertainment","Museum","Erotic Museum","Erotic Museum"
"History Museum",3,"Arts & Entertainment","Museum","History Museum","History Museum"
"Planetarium",3,"Arts & Entertainment","Museum","Planetarium","Planetarium"
"Science Museum",3,"Arts & Entertainment","Museum","Science Museum","Science Museum"
"Music Venue",2,"Arts & Entertainment","Music Venue","Music Venue","Music Venue"
"Jazz Club",3,"Arts & Entertainment","Music Venue","Jazz Club","Jazz Club"
"Piano Bar",3,"Arts & Entertainment","Music Venue","Piano Bar","Piano Bar"
"Rock Club",3,"Arts & Entertainment","Music Venue","Rock Club","Rock Club"
"Pachinko Parlor",2,"Arts & Entertainment","Pachinko Parlor","Pachinko Parlor","Pachinko Parlor"
"Performing Arts Venue",2,"Arts & Entertainment","Performing Arts Venue","Performing Arts Venue","Performing Arts Venue"
"Dance Studio",3,"Arts & Entertainment","Performing Arts Venue","Dance Studio","Dance Studio"
"Indie Theater",3,"Arts & Entertainment","Performing Arts Venue","Indie Theater","Indie Theater"
"Opera House",3,"Arts & Entertainment","Performing Arts Venue","Opera House","Opera House"
"Theater",3,"Arts & Entertainment","Performing Arts Venue","Theater","Theater"
"Pool Hall",2,"Arts & Entertainment","Pool Hall","Pool Hall","Pool Hall"
"Public Art",2,"Arts & Entertainment","Public Art","Public Art","Public Art"
"Outdoor Sculpture",3,"Arts & Entertainment","Public Art","Outdoor Sculpture","Outdoor Sculpture"
"Street Art",3,"Arts & Entertainment","Public Art","Street Art","Street Art"
"Racecourse",2,"Arts & Entertainment","Racecourse","Racecourse","Racecourse"
"Racetrack",2,"Arts & Entertainment","Racetrack","Racetrack","Racetrack"
"Roller Rink",2,"Arts & Entertainment","Roller Rink","Roller Rink","Roller Rink"
