lat,long,province,name,type
44.97530071,-64.76216071,Nova Scotia,Kings,Subdivision of county municipality
45.56095692,-62.67204324,Nova Scotia,Pictou,Town
45.30432442,-65.79929816,New Brunswick,Saint John,Parish
46.12999763,-66.28587463,New Brunswick,Sunbury,Parish
45.61160735,-65.00003695,New Brunswick,Albert,Parish
47.22546237,-65.13350659,New Brunswick,Northumberland,Indian reserve
47.24982099,-67.79669772,New Brunswick,Madawaska,Parish
47.98606352,-66.31465048,New Brunswick,Restigouche,Village
48.03716909,-66.39265553,New Brunswick,Restigouche,Indian reserve
47.78408805,-65.80888944,New Brunswick,Gloucester,Parish
47.75856074,-65.16861311,New Brunswick,Gloucester,Village
47.76518213,-64.95085168,New Brunswick,Gloucester,Town
48.8574311,-64.98908414,Quebec,La Côte-de-Gaspé,Unorganized
48.16883387,-66.37667957,Quebec,Avignon,Municipalité
48.12228198,-66.71048783,Quebec,Avignon,Municipalité
48.5890767,-67.68307558,Quebec,La Matapédia,Municipalité
48.22323273,-67.48353549,Quebec,La Matapédia,Unorganized
48.73198809,-67.28676002,Quebec,La Matanie,Municipalité
48.83835138,-67.78963987,Quebec,La Matanie,Municipalité
48.33175351,-68.0360641,Quebec,La Mitis,Paroisse (municipalité de)
47.4669808,-70.04470996,Quebec,Kamouraska,Municipalité
47.23059143,-70.32663421,Quebec,L'Islet,Municipalité
46.83477742,-70.21135755,Quebec,Montmagny,Paroisse (municipalité de)
46.15211563,-70.82365796,Quebec,Robert-Cliche,Municipalité
45.84672713,-70.81229241,Quebec,Beauce-Sartigan,Paroisse (municipalité de)
45.94571257,-70.98771433,Quebec,Beauce-Sartigan,Municipalité
46.06886501,-70.79459929,Quebec,Beauce-Sartigan,Municipalité
45.79654471,-70.95772195,Quebec,Le Granit,Municipalité
46.37280358,-71.42192543,Quebec,Lotbinière,Municipalité
46.44679951,-71.96682613,Quebec,Bécancour,Municipalité
45.68715202,-71.69987703,Quebec,Les Sources,Canton (municipalité de)
45.43269169,-72.34606688,Quebec,Le Val-Saint-François,Village
45.59671279,-72.17785636,Quebec,Le Val-Saint-François,Canton (municipalité de)
45.09542474,-71.83763922,Quebec,Coaticook,Ville
46.06822778,-72.87030393,Quebec,Nicolet-Yamaska,Municipalité
46.44139173,-72.926318,Quebec,Maskinongé,Municipalité
46.10961038,-73.10786722,Quebec,D'Autray,Municipalité
45.11446563,-73.99347164,Quebec,Le Haut-Saint-Laurent,Municipalité
45.2344609,-73.89969979,Quebec,Beauharnois-Salaberry,Municipalité
45.26772911,-74.23110025,Quebec,Vaudreuil-Soulanges,Municipalité
45.86184032,-74.05892621,Quebec,La Rivière-du-Nord,Ville
45.66679118,-74.2966903,Quebec,Argenteuil,Ville
46.56173599,-75.59994086,Quebec,Antoine-Labelle,Ville
46.80452076,-75.57370806,Quebec,Antoine-Labelle,Municipalité
46.91728465,-75.37897829,Quebec,Antoine-Labelle,Municipalité
47.61251785,-74.66151475,Quebec,Antoine-Labelle,Unorganized
45.59523976,-75.30942241,Quebec,Papineau,Canton (municipalité de)
45.77910569,-75.55023645,Quebec,Les Collines-de-l'Outaouais,Municipalité
45.831259,-76.03741364,Quebec,La Vallée-de-la-Gatineau,Canton (municipalité de)
47.25925765,-76.70570113,Quebec,La Vallée-de-la-Gatineau,Indian reserve
46.92107384,-76.48718672,Quebec,La Vallée-de-la-Gatineau,Unorganized
47.58140992,-78.57301719,Quebec,Témiscamingue,Indian settlement
48.66992141,-74.93076271,Quebec,La Tuque,Indian reserve
49.09185654,-72.39718441,Quebec,Maria-Chapdelaine,Municipalité
48.65517817,-71.06776396,Quebec,Le Saguenay-et-son-Fjord,Municipalité
48.52636153,-71.41526186,Quebec,Le Saguenay-et-son-Fjord,Municipalité
49.01707286,-68.35557111,Quebec,Manicouagan,Village
51.33666871,-65.92941143,Quebec,Sept-Rivières--Caniapiscau,Unorganized
