city,lat,long,state
Guadalajara,20.6767,-103.3475,Jalisco
Monterrey,25.6667,-100.3,Nuevo León
Puebla,19.0333,-98.1833,Puebla
Mexicali,32.6633,-115.4678,Baja California
Aguascalientes,21.876,-102.296,Aguascalientes
Mérida,20.97,-89.62,Yucatán
Chihuahua,28.6353,-106.0889,Chihuahua
San Luis Potosí,22.1511,-100.9761,San Luis Potosí
Toluca,19.2925,-99.6569,Estado de México
Hermosillo,29.0989,-110.9542,Sonora
Saltillo,25.4333,-101,Coahuila
Querétaro,20.5875,-100.3928,Querétaro
Culiacán,24.8069,-107.3939,Sinaloa
Durango,24.0167,-104.6667,Durango
Villahermosa,17.9892,-92.9281,Tabasco
Tuxtla,16.7528,-93.1167,Chiapas
Xalapa,19.54,-96.9275,Veracruz
Cuernavaca,18.9186,-99.2342,Morelos
Tepic,21.5083,-104.8931,Nayarit
Ciudad Victoria,23.7333,-99.1333,Tamaulipas
Oaxaca,17.0833,-96.75,Oaxaca
Pachuca,20.1,-98.75,Hidalgo
La Paz,24.1422,-110.3108,Baja California Sur
Campeche,19.85,-90.5306,Campeche
Chilpancingo,17.55,-99.5,Guerrero
Guanajuato,21.0178,-101.2567,Guanajuato
Chetumal,18.5036,-88.3053,Quintana Roo
Zacatecas,22.7736,-102.5736,Zacatecas
Colima,19.2433,-103.7247,Colima
Tlaxcala,19.3191,-98.1998,Tlaxcala
Mexico City,19.403,-99.135,Districto Federal
Morelia,19.699,-101.2,Michoacán
