"county","state","lat","long","population"
"Los Angeles","California",34.3209,-118.2247,10040682
"Cook","Illinois",41.8401,-87.8168,5169517
"Harris","Texas",29.8578,-95.3936,4680609
"Maricopa","Arizona",33.349,-112.4915,4412779
"San Diego","California",33.0343,-116.735,3323970
"Orange","California",33.7031,-117.7609,3170345
"Miami-Dade","Florida",25.6149,-80.5623,2705528
"Dallas","Texas",32.7666,-96.7778,2622634
"Kings","New York",40.6395,-73.9385,2576771
"Riverside","California",33.7437,-115.9938,2437864
"Queens","New York",40.7023,-73.8203,2270976
"Clark","Nevada",36.2152,-115.0135,2228866
"King","Washington",47.4902,-121.8052,2225064
"San Bernardino","California",34.8414,-116.1785,2162532
"Tarrant","Texas",32.7719,-97.2911,2077153
"Bexar","Texas",29.4489,-98.52,1978826
"Broward","Florida",26.1523,-80.4871,1942273
"Santa Clara","California",37.2318,-121.6951,1924379
"Wayne","Michigan",42.2819,-83.2822,1753059
"Alameda","California",37.6469,-121.8888,1661584
"New York","New York",40.7784,-73.9674,1629153
"Middlesex","Massachusetts",42.4856,-71.3918,1605899
"Philadelphia","Pennsylvania",40.0077,-75.1339,1581531
"Sacramento","California",38.4493,-121.3443,1537948
"Palm Beach","Florida",26.6476,-80.4655,1482057
"Suffolk","New York",40.8686,-72.8448,1481364
"Hillsborough","Florida",27.9292,-82.3092,1451358
"Bronx","New York",40.85,-73.8661,1427056
"Orange","Florida",28.5144,-81.3235,1373784
"Nassau","New York",40.7328,-73.5865,1355683
"Franklin","Ohio",39.9695,-83.0093,1304715
"Oakland","Michigan",42.6604,-83.3858,1255340
"Hennepin","Minnesota",45.0045,-93.477,1255296
"Travis","Texas",30.3344,-97.782,1250884
"Cuyahoga","Ohio",41.4243,-81.6586,1241475
"Allegheny","Pennsylvania",40.4688,-79.9812,1218380
"Fairfax","Virginia",38.8368,-77.277,1149439
"Contra Costa","California",37.9191,-121.9277,1147788
"Salt Lake","Utah",40.6673,-111.9236,1146215
"Mecklenburg","North Carolina",35.2467,-80.8328,1095170
"Wake","North Carolina",35.7903,-78.6503,1091662
"Fulton","Georgia",33.7903,-84.467,1051550
"Montgomery","Maryland",39.1363,-77.2042,1047661
"Pima","Arizona",32.0974,-111.7899,1038476
"Collin","Texas",33.188,-96.5724,1006038
"St. Louis","Missouri",38.6407,-90.4434,996179
"Fresno","California",36.7582,-119.6493,990204
"Honolulu","Hawaii",21.5008,-158.1053,979682
"Pinellas","Florida",27.9199,-82.7256,970985
"Westchester","New York",41.1624,-73.7561,968738
"Marion","Indiana",39.7817,-86.1385,957337
"Milwaukee","Wisconsin",43.0072,-87.9669,949180
"Duval","Florida",30.3316,-81.6708,948651
"Fairfield","Connecticut",41.2711,-73.3893,944306
"Shelby","Tennessee",35.1842,-89.894,936611
"Bergen","New Jersey",40.9597,-74.0742,931275
"Gwinnett","Georgia",33.9617,-84.0236,926414
"DuPage","Illinois",41.852,-88.0856,926005
"Erie","New York",42.7639,-78.7323,918873
"Prince George's","Maryland",38.8295,-76.8473,910551
"Kern","California",35.3426,-118.7301,892458
"Hartford","Connecticut",41.8064,-72.7329,892153
"Pierce","Washington",47.0241,-122.1046,891862
"San Francisco","California",37.7558,-122.4449,874784
"Macomb","Michigan",42.6957,-82.9323,870893
"Denton","Texas",33.2055,-97.1168,861690
"Hidalgo","Texas",26.3967,-98.1811,861137
"New Haven","Connecticut",41.4106,-72.9321,855733
"Ventura","California",34.4561,-119.0836,845599
"El Paso","Texas",31.7686,-106.2348,836915
"Baltimore","Maryland",39.4627,-76.6393,828193
"Montgomery","Pennsylvania",40.2108,-75.3673,827180
"Worcester","Massachusetts",42.3514,-71.9077,826655
"Middlesex","New Jersey",40.4392,-74.4117,825015
"Hamilton","Ohio",39.1955,-84.5428,815790
"Snohomish","Washington",48.0475,-121.6975,811572
"Multnomah","Oregon",45.5468,-122.4148,809869
"Suffolk","Massachusetts",42.3334,-71.0719,801162
"Essex","New Jersey",40.7872,-74.2471,798698
"Oklahoma","Oklahoma",35.5515,-97.4072,792668
"Fort Bend","Texas",29.5275,-95.7709,790892
"Essex","Massachusetts",42.6732,-70.952,787038
"Jefferson","Kentucky",38.1872,-85.6591,768419
"San Mateo","California",37.4229,-122.329,765623
"Cobb","Georgia",33.9415,-84.5767,756653
"Lee","Florida",26.5779,-81.8337,756570
"DeKalb","Georgia",33.7715,-84.2264,755287
"San Joaquin","California",37.9348,-121.2714,751615
"Monroe","New York",43.1464,-77.6961,743084
"Denver","Colorado",39.762,-104.8758,715878
"El Paso","Colorado",38.8321,-104.5255,710499
"Polk","Florida",27.9489,-81.6977,705735
"Norfolk","Massachusetts",42.1605,-71.2114,703740
"District of Columbia","District of Columbia",38.9047,-77.0163,701974
"Jackson","Missouri",39.0085,-94.3461,700733
"Lake","Illinois",42.3233,-88.0037,699682
"Davidson","Tennessee",36.1695,-86.7847,690540
"Will","Illinois",41.445,-87.9786,689704
"Bernalillo","New Mexico",35.0514,-106.6702,679037
"Hudson","New Jersey",40.7371,-74.0779,671923
