"metro","lat","long","country","capital","population","state"
"Tokyo",35.6839,139.7744,"Japan","primary",34106914,""
"Manila",14.6,120.9833,"Philippines","primary",25638202,""
"Jakarta",-6.2146,106.8451,"Indonesia","primary",34730131,""
"Delhi",28.6667,77.2167,"India","admin",33663420,""
"New York",40.6943,-73.9249,"United States","",15007874,"NY"
"Seoul",37.56,126.99,"South Korea","primary",25617494,""
"São Paulo",-23.5504,-46.6339,"Brazil","admin",21893723,""
"Mexico City",19.4333,-99.1333,"Mexico","primary",21344790,""
"Guangzhou",23.1288,113.259,"China","admin",24333170,""
"Ōsaka",34.752,135.4582,"Japan","admin",16228636,""
"Shanghai",31.1667,121.4667,"China","admin",28745981,""
"Cairo",30.0444,31.2358,"Egypt","primary",26687927,""
"Mumbai",19.0758,72.8775,"India","admin",23324642,""
"Kolkāta",22.5727,88.3639,"India","admin",28748872,""
"Beijing",39.904,116.4075,"China","primary",21281815,""
"Shenzhen",22.535,114.054,"China","minor",22189559,""
"Buenos Aires",-34.5997,-58.3819,"Argentina","primary",15364042,""
"Moscow",55.7558,37.6178,"Russia","primary",16316147,""
"Wuxi",31.5667,120.2833,"China","minor",15702861,""
"Paris",48.8566,2.3522,"France","primary",11815165,""
"Istanbul",41.01,28.9603,"Turkey","admin",18677326,""
"Bangkok",13.75,100.5167,"Thailand","primary",19531704,""
"Los Angeles",34.1139,-118.4068,"United States","",9832662,"CA"
"Tehran",35.7,51.4167,"Iran","primary",14289557,""
"Jieyang",23.5533,116.3649,"China","minor",12828499,""
"Dhaka",23.7289,90.3944,"Bangladesh","primary",31180493,""
"Kinshasa",-4.3317,15.3139,"Congo (Kinshasa)","primary",7827216,""
"Lagos",6.45,3.4,"Nigeria","minor",14989517,""
"Ho Chi Minh City",10.8167,106.6333,"Vietnam","admin",12261927,""
"Nagoya",35.1167,136.9333,"Japan","admin",9377900,""
"Changsha",28.1987,112.9709,"China","admin",8844616,""
"Rio de Janeiro",-22.9083,-43.1964,"Brazil","admin",12003835,""
"Karachi",24.86,67.01,"Pakistan","admin",15823922,""
"London",51.5072,-0.1275,"United Kingdom","primary",14209642,""
"Bangalore",12.9791,77.5913,"India","admin",16012010,""
"Xi’an",34.2667,108.9,"China","admin",11086881,""
"Shijiazhuang",38.0422,114.5086,"China","admin",8979668,""
"Chengdu",30.66,104.0633,"China","admin",14941368,""
"Chicago",41.8373,-87.6862,"United States","",7377060,"IL"
"Zhengzhou",34.7492,113.6605,"China","admin",10178914,""
"Baoding",38.8671,115.4845,"China","",6589103,""
"Lahore",31.5497,74.3436,"Pakistan","admin",16186926,""
"Weifang",36.7167,119.1,"China","",5713904,""
"Chennai",13.0825,80.275,"India","admin",11785757,""
"Zhanjiang",21.1967,110.4031,"China","minor",4630043,""
"Luanda",-8.8383,13.2344,"Angola","primary",15319498,""
"Nanjing",32.05,118.7667,"China","admin",10542030,""
"Tianjin",39.1467,117.2056,"China","admin",13063827,""
"Handan",36.6116,114.4894,"China","minor",8267803,""
"Taizhou",32.4831,119.9,"China","minor",6882565,""
"Jiangmen",22.5833,113.0833,"China","minor",6566242,""
"Wuhan",30.5872,114.2881,"China","admin",11168407,""
"Linyi",35.0606,118.3425,"China","",6231146,""
"Kuala Lumpur",3.1478,101.6953,"Malaysia","primary",8668272,""
"Quanzhou",24.9139,118.5858,"China","minor",8583637,""
"Tongshan",34.261,117.1859,"China","minor",5842847,""
"Huanggang",30.45,114.875,"China","minor",4201151,""
"Lima",-12.06,-77.0375,"Peru","primary",10982422,""
"Hyderābād",17.3617,78.4747,"India","admin",11569760,""
"Nantong",31.9829,120.8873,"China","minor",5693447,""
"Washington",38.9047,-77.0163,"United States","primary",6127751,"DC"
"Santiago",-33.45,-70.6667,"Chile","primary",7196164,""
"Nanyang",32.9987,112.5292,"China","",5408796,""
"Zhoukou",33.625,114.6418,"China","minor",6159269,""
"Miami",25.7839,-80.2102,"United States","",4087695,"FL"
"Dallas",32.7936,-96.7662,"United States","",5679284,"TX"
"Philadelphia",40.0077,-75.1339,"United States","",5407676,"PA"
"Shenyang",41.8039,123.4258,"China","admin",9290829,""
"Bogotá",4.6126,-74.0705,"Colombia","primary",9859664,""
"Khartoum",15.6031,32.5265,"Sudan","primary",7207013,""
"Guadalajara",20.6767,-103.3475,"Mexico","admin",5884483,""
"Mianyang",31.4669,104.7385,"China","minor",4325336,""
"Zhangzhou",24.5093,117.6612,"China","minor",6614624,""
"Fuzhou",26.0769,119.2917,"China","admin",6083162,""
"Maoming",21.6618,110.9178,"China","minor",4698564,""
"Shaoyang",27.2418,111.4725,"China","",4288790,""
"Madrid",40.4167,-3.7167,"Spain","primary",6807122,""
"Hanoi",21.0245,105.8412,"Vietnam","primary",12057613,""
"Cangzhou",38.3037,116.8452,"China","",4286327,""
"Hangzhou",30.25,120.1675,"China","admin",11819297,""
"Toronto",43.7417,-79.3733,"Canada","admin",6297763,""
"Jining",35.4,116.5667,"China","",7075971,""
"Ganzhou",25.8292,114.9336,"China","minor",2771972,""
"Dongguan",23.0475,113.7493,"China","minor",5013287,""
"Boston",42.3188,-71.0846,"United States","admin",4194681,"MA"
"Jinan",36.6667,116.9833,"China","admin",7433429,""
"Nanchong",30.7991,106.0784,"China","minor",4227964,""
"Tangshan",39.6292,118.1742,"China","",5700754,""
"Heze",35.2333,115.4333,"China","minor",5884856,""
"Chongqing",29.55,106.5069,"China","admin",8850897,""
"Hefei",31.8639,117.2808,"China","admin",6697936,""
"Fuyang",32.8986,115.8045,"China","",5814763,""
"Ahmedabad",23.03,72.58,"India","minor",10636107,""
"Luoyang",34.6587,112.4245,"China","",6865744,""
"Riverside",33.9381,-117.3948,"United States","",5796930,"CA"
"Pune",18.5196,73.8553,"India","",9210271,""
"Yuncheng",35.0304,110.998,"China","",3580941,""
"Changchun",43.9,125.2,"China","admin",5112498,""
"San Francisco",37.7562,-122.443,"United States","",4154825,"CA"
"Yantai",37.3997,121.2664,"China","",3269545,""
"Barcelona",41.3825,2.1769,"Spain","admin",5180487,""
"Belo Horizonte",-19.9281,-43.9419,"Brazil","admin",5410611,""
"Dar es Salaam",-6.8,39.2833,"Tanzania","primary",5298662,""
"Johannesburg",-26.2044,28.0416,"South Africa","admin",8413964,""
"Kunming",25.0433,102.7061,"China","admin",5388108,""
"Zhaoqing",23.05,112.4667,"China","minor",3029657,""
"Shangqiu",34.4259,115.6467,"China","",5201084,""
"Atlanta",33.7627,-84.4224,"United States","admin",4939705,"GA"
"Yancheng",33.3936,120.1339,"China","minor",4043579,""
"Nanning",22.8192,108.315,"China","admin",4174843,""
"Hengyang",26.8968,112.5857,"China","",4458690,""
"Zhumadian",32.9773,114.0253,"China","",3700152,""
"Xingtai",37.0659,114.4753,"China","",2508019,""
"Houston",29.7863,-95.3889,"United States","",6294521,"TX"
"Neijiang",29.5872,105.0635,"China","minor",5491151,""
"Nangandao",35.2992,113.8851,"China","minor",4451382,""
"Riyadh",24.65,46.71,"Saudi Arabia","primary",6322078,""
"Bijie",27.3019,105.2863,"China","",2837167,""
"Qujing",25.5102,103.8029,"China","",1920328,""
"Phoenix",33.5722,-112.0891,"United States","admin",4423168,"AZ"
"Shangrao",28.4419,117.9633,"China","minor",3277952,""
"San Diego",32.8312,-117.1225,"United States","",4816325,"CA"
"Anshan",41.1066,122.9895,"China","",4829636,""
"Singapore",1.3,103.8,"Singapore","primary",9680799,""
"Brussels",50.8353,4.3314,"Belgium","primary",5755668,""
"Hengshui",37.7348,115.686,"China","",4231401,""
"Qingdao",36.1167,120.4,"China","minor",6462887,""
"Baghdad",33.35,44.4167,"Iraq","primary",8578587,""
"Anqing",30.5,117.0333,"China","minor",3337941,""
"Seattle",47.6211,-122.3244,"United States","",3415671,"WA"
"Tai’an",36.2001,117.0809,"China","",3893431,""
"Zunyi",27.705,106.9336,"China","",2610463,""
"Jiaozuo",35.229,113.2304,"China","",3332682,""
"Cologne",50.9422,6.9578,"Germany","",6658511,""
"Xiangyang",32.0654,112.1531,"China","minor",3655661,""
"Zibo",36.7831,118.0497,"China","",6525768,""
"Xinyang",32.1264,114.0672,"China","",2021988,""
"Huai’an",33.5,119.1331,"China","",4878113,""
"Detroit",42.3834,-83.1024,"United States","",3960221,"MI"
"Pingdingshan",33.735,113.2999,"China","",6110151,""
"Montréal",45.5089,-73.5617,"Canada","",4285266,""
"Jinzhou",41.1144,121.1292,"China","",2884639,""
"Jiujiang",29.7048,116.0021,"China","minor",3748236,""
"Saint Petersburg",59.95,30.3167,"Russia","admin",5957936,""
"Allahābād",25.45,81.85,"India","",9722860,""
"Yulin",22.6293,110.1507,"China","minor",4167686,""
"Taipei",25.0478,121.5319,"Taiwan","",10695261,""
"Changde",29.0397,111.6839,"China","minor",3228353,""
"Zhaotong",27.3328,103.7144,"China","",2025508,""
"Liaocheng",36.45,115.9833,"China","minor",5447875,""
"Binzhou",37.3806,118.0125,"China","",3252893,""
"Nairobi",-1.2864,36.8172,"Kenya","primary",9304692,""
"Milan",45.4669,9.19,"Italy","admin",7343129,""
"Qiqihar",47.3398,123.9512,"China","minor",1622978,""
"Dezhou",37.4513,116.3105,"China","minor",3490973,""
"Xiaoganzhan",30.9273,113.911,"China","",3247451,""
"Suqian",33.9331,118.2831,"China","",4471297,""
"Lu’an",31.7542,116.5078,"China","minor",2713393,""
"Huaihua",27.5494,109.9592,"China","",2088552,""
"Minneapolis",44.9635,-93.2678,"United States","",3096221,"MN"
"Yichun",27.8041,114.383,"China","minor",2601599,""
"Meizhou",24.2998,116.1191,"China","minor",2437753,""
"Nanchang",28.6842,115.8872,"China","admin",6218341,""
"Guiyang",26.5794,106.7078,"China","admin",4647905,""
"Rangoon",16.795,96.16,"Myanmar","primary",7995853,""
"Suihua",46.6384,126.9808,"China","minor",1911034,""
"Dazhou",31.2152,107.4947,"China","minor",3479011,""
"Yongzhou",26.4515,111.5953,"China","",2407168,""
"Huanglongsi",34.7936,114.3403,"China","",4120982,""
"Tampa",27.9942,-82.4451,"United States","",3149600,"FL"
"Dortmund",51.5139,7.4653,"Germany","minor",5327057,""
"Casablanca",33.5992,-7.62,"Morocco","admin",4855751,""
"Taiyuan",37.8733,112.5425,"China","admin",5898761,""
"Weinan",34.4996,109.4684,"China","minor",2788311,""
"Suzhou",33.6333,116.9683,"China","",4130049,""
"Zaozhuang",34.8667,117.55,"China","",4419185,""
"Angeles City",15.1472,120.5847,"Philippines","admin",5108262,""
"Denver",39.7621,-104.8759,"United States","admin",3158189,"CO"
"Melbourne",-37.8136,144.9631,"Australia","admin",4520821,""
"Busan",35.1,129.0403,"South Korea","admin",6037759,""
"Alexandria",31.2,29.9167,"Egypt","admin",7858540,""
"Kaohsiung",22.6167,120.3,"Taiwan","admin",4529880,""
"Abidjan",5.3364,-4.0267,"Côte d'Ivoire","primary",5213316,""
"Fukuoka",33.6,130.4167,"Japan","admin",4856136,""
"Loudi",27.7378,111.9974,"China","",3435810,""
"Amsterdam",52.3667,4.8833,"Netherlands","primary",5599988,""
"Guilin",25.2667,110.2833,"China","minor",2240578,""
"Chenzhou",25.7989,113.0267,"China","minor",2455842,""
"Yiyang",28.5833,112.3333,"China","",2844033,""
"Guatemala City",14.6099,-90.5252,"Guatemala","primary",5051865,""
"Zhangjiakou",40.8108,114.8811,"China","",2041652,""
"Sūrat",21.17,72.83,"India","",8690092,""
"Jiangguanchi",34.0244,113.8201,"China","minor",4243635,""
"Timbío",2.3528,-76.6819,"Colombia","minor",686603,""
"Ji’an",27.1172,114.9793,"China","minor",2248857,""
"Huizhou",23.1115,114.4152,"China","minor",3611690,""
"Caracas",10.5,-66.9333,"Venezuela","primary",4809376,""
"Sydney",-33.865,151.2094,"Australia","admin",4773878,""
"Lipa City",13.9411,121.1622,"Philippines","",4897580,""
"Bozhou",33.8626,115.7742,"China","",3624340,""
"Amman",31.95,35.9333,"Jordan","primary",7118072,""
"Santo Domingo",18.4764,-69.8933,"Dominican Republic","primary",4758986,""
"Pyongyang",39.03,125.73,"North Korea","primary",5860410,""
"Bridgeport",41.1918,-73.1953,"United States","",2763511,"CT"
"Qincheng",34.5809,105.7311,"China","minor",2285075,""
"Yibin",28.7596,104.64,"China","minor",3291184,""
"Linfen",36.0812,111.5087,"China","",3199593,""
"Harbin",45.75,126.6333,"China","admin",6440397,""
"Berlin",52.5167,13.3833,"Germany","primary",5076049,""
"Xiaoxita",30.7083,111.2803,"China","minor",2449896,""
"Dalian",38.9,121.6,"China","",4377865,""
"Luzhou",28.8918,105.4409,"China","minor",3657690,""
"Guigang",23.0961,109.6092,"China","minor",2454620,""
"Xinpu",34.5906,119.1801,"China","minor",3890989,""
"Kabul",34.5328,69.1658,"Afghanistan","primary",5494834,""
"Chifeng",42.2663,118.9223,"China","minor",1585205,""
"Medellín",6.2447,-75.5748,"Colombia","admin",4429609,""
"Dubai",25.2697,55.3094,"United Arab Emirates","admin",5556231,""
"Puyang",35.7639,115.03,"China","minor",5431655,""
"Cebu City",10.293,123.902,"Philippines","admin",4286203,""
"Suining",30.5098,105.5737,"China","minor",3335189,""
"Qingyuan",23.6842,113.0507,"China","minor",2132598,""
"Naples",40.8333,14.25,"Italy","admin",4586554,""
"Rome",41.8931,12.4828,"Italy","primary",4594277,""
"Recife",-8.0539,-34.8808,"Brazil","admin",4326510,""
"Faisalabad",31.418,73.079,"Pakistan","minor",10628316,""
"Zhenjiang",32.2109,119.4551,"China","minor",2874650,""
"Vancouver",49.25,-123.1,"Canada","",2588622,""
"Fuzhou",27.9814,116.3577,"China","",2914301,""
"Liuzhou",24.3264,109.4281,"China","minor",2970779,""
"Monterrey",25.6667,-100.3,"Mexico","admin",8967312,""
"Wuhu",31.334,118.3622,"China","minor",4727055,""
"Algiers",36.7764,3.0586,"Algeria","primary",6211664,""
"Jeddah",21.5428,39.1728,"Saudi Arabia","",4629166,""
"Dandong",40.1167,124.3833,"China","",2857499,""
"Changzhi",36.1953,113.097,"China","minor",3251838,""
"Chuzhou",32.3062,118.3115,"China","",1176751,""
"Birmingham",52.48,-1.9025,"United Kingdom","",5296915,""
"Cleveland",41.4767,-81.6804,"United States","",2317411,"OH"
"Kano",12,8.5167,"Nigeria","admin",9412018,""
"Yingkou",40.6653,122.2297,"China","minor",2649669,""
"Baojishi",34.3609,107.1751,"China","",2593215,""
"Taichung",24.15,120.6667,"Taiwan","admin",4916073,""
"Ürümqi",43.8225,87.6125,"China","admin",4315822,""
"Frankfurt",50.1136,8.6797,"Germany","minor",4624115,""
"Lanzhou",36.0617,103.8318,"China","admin",3636913,""
"Leeds",53.7997,-1.5492,"United Kingdom","",4751416,""
"Mirzāpur",25.15,82.58,"India","",6566012,""
"Orlando",28.4772,-81.3369,"United States","",2653109,"FL"
"Baicheng",23.901,106.6194,"China","minor",862777,""
"Porto Alegre",-30.0328,-51.23,"Brazil","admin",3910178,""
"Mudanjiang",44.5861,129.5997,"China","minor",1627946,""
"Bandung",-6.95,107.5667,"Indonesia","admin",13368270,""
"Stuttgart",48.7761,9.1775,"Germany","admin",4302054,""
"Sacramento",38.5667,-121.4683,"United States","admin",2378954,"CA"
