team,id,level,org,lat,long
Arizona Diamondbacks, 109,5,Arizona Diamondbacks,33.44542,-112.06701
Reno Aces,2310,4,Arizona Diamondbacks,39.52885,-119.80774
Amarillo Sod Poodles,5368,3,Arizona Diamondbacks,35.20501,-101.83173
Hillsboro Hops, 419,2,Arizona Diamondbacks,45.55441,-122.90845
Visalia Rawhide, 516,1,Arizona Diamondbacks,36.33238,-119.30455
Athletics, 133,5,Athletics,38.58083,-121.51366
Las Vegas Aviators, 400,4,Athletics,36.15281,-115.32968
Midland RockHounds, 237,3,Athletics,31.98707,-102.15532
Lansing Lugnuts, 499,2,Athletics,42.73417, -84.54556
Stockton Ports, 524,1,Athletics,37.95533,-121.29797
Atlanta Braves, 144,5,Atlanta Braves,33.89074, -84.46815
Gwinnett Stripers, 431,4,Atlanta Braves,34.04050, -83.99226
Columbus Clingstones,6325,3,Atlanta Braves,32.45180, -84.99144
Rome Emperors, 432,2,Atlanta Braves,34.28528, -85.16750
Augusta GreenJackets, 478,1,Atlanta Braves,33.48526, -81.97469
Baltimore Orioles, 110,5,Baltimore Orioles,39.28389, -76.62192
Norfolk Tides, 568,4,Baltimore Orioles,36.84238, -76.27896
Chesapeake Baysox, 418,3,Baltimore Orioles,38.94564, -76.70924
Frederick Keys, 493,2,Baltimore Orioles,39.40135, -77.41309
Delmarva Shorebirds, 548,1,Baltimore Orioles,38.36993, -75.53070
Boston Red Sox, 111,5,Boston Red Sox,42.34670, -71.09740
Worcester Red Sox, 533,4,Boston Red Sox,42.25713, -71.80023
Portland Sea Dogs, 546,3,Boston Red Sox,43.65679, -70.27809
Greenville Drive, 428,2,Boston Red Sox,34.84219, -82.40818
Salem RidgeYaks, 414,1,Boston Red Sox,37.28549, -80.03691
Chicago Cubs, 112,5,Chicago Cubs,41.94814, -87.65538
Iowa Cubs, 451,4,Chicago Cubs,41.58036, -93.61583
Knoxville Smokies, 553,3,Chicago Cubs,35.98813, -83.60486
South Bend Cubs, 550,2,Chicago Cubs,41.67044, -86.25546
Myrtle Beach Pelicans, 521,1,Chicago Cubs,33.71142, -78.88439
Chicago White Sox, 145,5,Chicago White Sox,41.83005, -87.63386
Charlotte Knights, 494,4,Chicago White Sox,35.22841, -80.84865
Birmingham Barons, 247,3,Chicago White Sox,33.50745, -86.81051
Winston-Salem Dash, 580,2,Chicago White Sox,36.09221, -80.25488
Kannapolis Cannon Ballers, 487,1,Chicago White Sox,35.49789, -80.62735
Cincinnati Reds, 113,5,Cincinnati Reds,39.09736, -84.50675
Louisville Bats, 416,4,Cincinnati Reds,38.25646, -85.74455
Chattanooga Lookouts, 498,3,Cincinnati Reds,35.05423, -85.31390
Dayton Dragons, 459,2,Cincinnati Reds,39.76429, -84.18512
Daytona Tortugas, 450,1,Cincinnati Reds,29.20927, -81.01591
Cleveland Guardians, 114,5,Cleveland Guardians,41.49619, -81.68521
Columbus Clippers, 445,4,Cleveland Guardians,39.96905, -83.01103
Akron RubberDucks, 402,3,Cleveland Guardians,41.07812, -81.52223
Lake County Captains, 437,2,Cleveland Guardians,41.64052, -81.43622
Hill City Howlers, 481,1,Cleveland Guardians,37.39221, -79.16543
Colorado Rockies, 115,5,Colorado Rockies,39.75613,-104.99442
Albuquerque Isotopes, 342,4,Colorado Rockies,35.06998,-106.62886
Hartford Yard Goats, 538,3,Colorado Rockies,41.77136, -72.67445
Spokane Indians, 486,2,Colorado Rockies,47.66220,-117.34557
Fresno Grizzlies, 259,1,Colorado Rockies,36.73210,-119.79020
Detroit Tigers, 116,5,Detroit Tigers,42.33915, -83.04867
Toledo Mud Hens, 512,4,Detroit Tigers,41.64857, -83.53866
Erie SeaWolves, 106,3,Detroit Tigers,42.12736, -80.08008
West Michigan Whitecaps, 582,2,Detroit Tigers,43.04058, -85.65942
Lakeland Flying Tigers, 570,1,Detroit Tigers,28.07450, -81.95103
Houston Astros, 117,5,Houston Astros,29.75713, -95.35554
Sugar Land Space Cowboys,5434,4,Houston Astros,29.62236, -95.64730
Corpus Christi Hooks, 482,3,Houston Astros,27.80989, -97.39938
Asheville Tourists, 573,2,Houston Astros,35.58711, -82.55011
Fayetteville Woodpeckers,3712,1,Houston Astros,35.05510, -78.88346
Kansas City Royals, 118,5,Kansas City Royals,39.05156, -94.48055
Omaha Storm Chasers, 541,4,Kansas City Royals,41.15185, -96.10622
Northwest Arkansas Naturals,1350,3,Kansas City Royals,36.15967, -94.19462
Quad Cities River Bandits, 565,2,Kansas City Royals,41.51855, -90.58194
Columbia Fireflies,3705,1,Kansas City Royals,34.01842, -81.03127
Los Angeles Angels, 108,5,Los Angeles Angels,33.80042,-117.88274
Salt Lake Bees, 561,4,Los Angeles Angels,40.74056,-111.89265
Rocket City Trash Pandas, 559,3,Los Angeles Angels,34.68383, -86.72533
Tri-City Dust Devils, 460,2,Los Angeles Angels,46.26694,-119.17194
Rancho Cucamonga Quakes, 526,1,Los Angeles Angels,34.10270,-117.54839
Los Angeles Dodgers, 119,5,Los Angeles Dodgers,34.07399,-118.24022
Oklahoma City Comets, 238,4,Los Angeles Dodgers,35.46520, -97.50776
Tulsa Drillers, 260,3,Los Angeles Dodgers,36.16039, -95.98816
Great Lakes Loons, 456,2,Los Angeles Dodgers,43.60969, -84.23722
Ontario Tower Buzzers,6482,1,Los Angeles Dodgers,34.01793,-117.60349
Miami Marlins, 146,5,Miami Marlins,25.77779, -80.21987
Jacksonville Jumbo Shrimp, 564,4,Miami Marlins,30.32514, -81.64267
Pensacola Blue Wahoos,4124,3,Miami Marlins,30.40447, -87.21858
Beloit Sky Carp, 554,2,Miami Marlins,42.49729, -89.04003
Jupiter Hammerheads, 479,1,Miami Marlins,26.89047, -80.11725
Milwaukee Brewers, 158,5,Milwaukee Brewers,43.02879, -87.97094
Nashville Sounds, 556,4,Milwaukee Brewers,36.17331, -86.78519
Biloxi Shuckers,5015,3,Milwaukee Brewers,30.39489, -88.89261
Wisconsin Timber Rattlers, 572,2,Milwaukee Brewers,44.28329, -88.46885
Wilson Warbirds, 249,1,Milwaukee Brewers,35.72118, -77.91502
Minnesota Twins, 142,5,Minnesota Twins,44.98173, -93.27782
St. Paul Saints,1960,4,Minnesota Twins,44.95080, -93.08396
Wichita Wind Surge,3898,3,Minnesota Twins,37.68139, -97.34544
Cedar Rapids Kernels, 492,2,Minnesota Twins,41.96798, -91.68645
Fort Myers Mighty Mussels, 509,1,Minnesota Twins,26.53801, -81.84131
New York Mets, 121,5,New York Mets,40.75713, -73.84583
Syracuse Mets, 552,4,New York Mets,43.07915, -76.16536
Binghamton Rumble Ponies, 505,3,New York Mets,42.10246, -75.90499
Brooklyn Cyclones, 453,2,New York Mets,40.57469, -73.98442
St. Lucie Mets, 507,1,New York Mets,27.32512, -80.40460
New York Yankees, 147,5,New York Yankees,40.82956, -73.92655
Scranton/Wilkes-Barre RailRiders, 531,4,New York Yankees,41.36049, -75.68387
Somerset Patriots,1956,3,New York Yankees,40.56072, -74.55309
Hudson Valley Renegades, 537,2,New York Yankees,41.52793, -73.96148
Tampa Tarpons, 587,1,New York Yankees,27.97972, -82.50766
Philadelphia Phillies, 143,5,Philadelphia Phillies,39.90592, -75.16641
Lehigh Valley IronPigs,1410,4,Philadelphia Phillies,40.62587, -75.45258
Reading Fightin Phils, 522,3,Philadelphia Phillies,40.36522, -75.93439
Jersey Shore BlueClaws, 427,2,Philadelphia Phillies,40.07457, -74.18776
Clearwater Threshers, 566,1,Philadelphia Phillies,27.97092, -82.73172
Pittsburgh Pirates, 134,5,Pittsburgh Pirates,40.44686, -80.00567
Indianapolis Indians, 484,4,Pittsburgh Pirates,39.76474, -86.16867
Altoona Curve, 452,3,Pittsburgh Pirates,40.47385, -78.39435
Greensboro Grasshoppers, 477,2,Pittsburgh Pirates,36.07632, -79.79495
Bradenton Marauders,3390,1,Pittsburgh Pirates,27.48559, -82.57050
San Diego Padres, 135,5,San Diego Padres,32.70759,-117.15735
El Paso Chihuahuas,4904,4,San Diego Padres,31.75930,-106.49253
San Antonio Missions, 510,3,San Diego Padres,29.40902, -98.60106
Fort Wayne TinCaps, 584,2,San Diego Padres,41.07406, -85.14256
Lake Elsinore Storm, 103,1,San Diego Padres,33.65385,-117.30331
