"league","lat","long","team","color1","color2","teamID","metroID","loc"
"NCAA",33.2082752,-87.5503836,"Alabama Crimson Tide","#9e1b32","#828a8f",153,2671,"Tuscaloosa, Alabama"
"NCAA",36.0680503,-94.1789239,"Arkansas Razorbacks","#9D2235","#9D2235",154,1155,"Fayetteville, Arkansas"
"NCAA",32.6022075,-85.4891253,"Auburn Tigers","#0C2340","#E87722",155,3663,"Auburn, Alabama"
"NCAA",29.6499413,-82.3486816,"Florida Gators","#0021A5","#FA4616",156,2311,"Gainesville, Florida"
"NCAA",33.9498057,-83.3733392,"Georgia Bulldogs","#BA0C2F","#BA0C2F",157,2880,"Athens-Clarke County, Georgia"
"NCAA",38.0227476,-84.5051762,"Kentucky Wildcats","#0033a0","#0033A0",158,1294,"Lexington, Kentucky"
"NCAA",30.412035,-91.1838163,"LSU Tigers","#461D7C","#FDD023",159,974,"Baton Rouge, Louisiana"
"NCAA",33.4564165,-88.7933836,"Mississippi State Bulldogs","#660000","#ffffff",160,3957,"Oktibbeha County, Mississippi"
"NCAA",38.9358388,-92.3332116,"Missouri Tigers","#F1B82D","#F1B82D",161,2341,"Columbia, Missouri"
"NCAA",34.3619355,-89.5342191,"Ole Miss Rebels","#CE1126","#14213D",162,4519,"Oxford, Mississippi"
"NCAA",33.9730884,-81.0191854,"South Carolina Gamecocks","#73000A","#73000A",163,964,"Columbia, South Carolina"
"NCAA",35.9550195,-83.9250108,"Tennessee Volunteers","#FF8200","#58595b",164,988,"Knoxville, Tennessee"
"NCAA",30.6100919,-96.340104,"Texas A&M Aggies","#500000","#500000",165,1872,"College Station, Texas"
"NCAA",36.1438717,-86.808941,"Vanderbilt Commodores","#866d4b","#866D4B",166,502,"Nashville-Davidson, Tennessee"
"NCAA",40.0993036,-88.2359586,"Illinois Fighting Illini","#13294b","#E84A27",167,2289,"Champaign, Illinois"
"NCAA",39.1808988,-86.5256316,"Indiana Hoosiers","#990000","#EEEDEB",168,3144,"Bloomington, Indiana"
"NCAA",41.6586542,-91.5510973,"Iowa Hawkeyes","#FFCD00","#FFCD00",169,1603,"Iowa City, Iowa"
"NCAA",38.9902668,-76.9472423,"Maryland Terrapins","#E03a3e","#ffd520",170,61,"College Park, Maryland"
