league,lat,long,team,color1,color2,teamID,metroID
MLB,33.44542,-112.06701,Arizona Diamondbacks,#A71930,#E3D4AD,  1, 120
MLB,33.89074, -84.46815,Atlanta Braves,#CE1141,#13274F,  2, 108
MLB,39.28389, -76.62192,Baltimore Orioles,#DF4601,#FC4C02,  3, 311
MLB,42.34670, -71.09740,Boston Red Sox,#BD3039,#0C2340,  4,  85
MLB,41.94814, -87.65538,Chicago Cubs,#0E3386,#CC3433,  5,  39
MLB,41.83005, -87.63386,Chicago White Sox,#27251F,#C4CED4,  6,  39
MLB,39.09736, -84.50675,Cincinnati Reds,#C6011F,#C6011F,  7, 352
MLB,41.49619, -81.68521,Cleveland Guardians,#00385D,#E50022,  8, 239
MLB,39.75613,-104.99442,Colorado Rockies,#333366,#C4CED4,  9, 178
MLB,42.33915, -83.04867,Detroit Tigers,#0C2340,#FA4616, 10, 139
MLB,29.75713, -95.35554,Houston Astros,#002D62,#EB6E1F, 11, 114
MLB,39.05156, -94.48055,Kansas City Royals,#004687,#BD9B60, 12, 323
MLB,36.10000,-115.17167,Athletics,#003831,#EFB21E, 13, 260
MLB,33.80042,-117.88274,Los Angeles Angels,#003263,#BA0021, 14,  95
MLB,34.07399,-118.24022,Los Angeles Dodgers,#005A9C,#EF3E42, 15,  23
MLB,25.77779, -80.21987,Miami Marlins,#00A3E0,#EF3340, 16,  65
MLB,43.02879, -87.97094,Milwaukee Brewers,#ffc52f,#12284b, 17, 386
MLB,44.98173, -93.27782,Minnesota Twins,#002B5C,#D31145, 18, 160
MLB,40.75713, -73.84583,New York Mets,#002D72,#FF5910, 19,   5
MLB,40.82956, -73.92655,New York Yankees,#003087,#E4002C, 20,   5
MLB,39.90592, -75.16641,Philadelphia Phillies,#E81828,#002d72, 21,  67
MLB,40.44686, -80.00567,Pittsburgh Pirates,#27251F,#FDB827, 22, 308
MLB,32.70759,-117.15735,San Diego Padres,#2F241D,#FFC425, 23, 122
MLB,37.77844,-122.38927,San Francisco Giants,#FD5A1E,#27251F, 24,  99
MLB,47.59124,-122.33196,Seattle Mariners,#0C2C56,#005C5C, 25, 130
MLB,38.62272, -90.19317,St. Louis Cardinals,#C41E3A,#0C2340, 26, 267
MLB,27.76806, -82.65318,Tampa Bay Rays,#092C5C,#8FBCE6, 27, 170
MLB,32.75130, -97.08279,Texas Rangers,#003278,#C0111F, 28,  66
MLB,43.64129, -79.38932,Toronto Blue Jays,#134A8E,#1D2D5C, 29,  81
MLB,38.87334, -77.00750,Washington Nationals,#AB0003,#14225A, 30,  61
MLS,33.75536, -84.40119,Atlanta United FC,#80000a,#221f1f, 31, 108
MLS,30.38821, -97.71986,Austin FC,#00b140,#00B140, 32, 406
MLS,45.56306, -73.55250,CF Montréal,#9EA1A2,#0033A1, 33, 141
MLS,35.22583, -80.85278,Charlotte FC,#1A85C8,#1A85C8, 34, 357
MLS,41.86230, -87.61670,Chicago Fire FC,#FF0000,#141946, 35,  39
MLS,39.80556,-104.89194,Colorado Rapids,#960A2C,#9CC2EA, 36, 178
MLS,39.96846, -83.01709,Columbus Crew,#FEDD00,#FEDD00, 37, 420
MLS,38.86833, -77.01222,D.C. United,#EF3E42,#231F20, 38,  61
MLS,39.11139, -84.52222,FC Cincinnati,#F05323,#263B80, 39, 352
MLS,33.15444, -96.83528,FC Dallas,#E81F3E,#2A4076, 40,  66
MLS,29.75220, -95.35240,Houston Dynamo FC,#101820,#FF6B00, 41, 114
MLS,26.19306, -80.16111,Inter Miami CF,#f7b5cd,#231f20, 42,  65
MLS,33.86444,-118.26111,LA Galaxy,#00245D,#0065A4, 43,  23
MLS,34.01306,-118.28500,Los Angeles FC,#c39e6d,#e31837, 44,  23
MLS,44.95278, -93.16500,Minnesota United FC,#E4E5E6,#8CD2F4, 45, 160
MLS,36.13028, -86.76556,Nashville SC,#ECE83A,#1F1646, 46, 502
MLS,42.09094, -71.26434,New England Revolution,#CE0E2D,#0A2240, 47,  85
MLS,40.82917, -73.92639,New York City FC,#6CACE4,#041E42, 48,   5
MLS,40.73667, -74.15028,New York Red Bulls,#ED1E36,#23326A, 49,   5
MLS,28.62440, -81.38904,Orlando City SC,#633492,#FDE192, 50, 249
