league,lat,long,team,rank,color1,color2,class
MLB,33.44542,-112.06701,Arizona Diamondbacks, 1,#A71930,#E3D4AD,mlb
MLB,38.580372,-121.5138,Athletics, 1,#003831,#EFB21E,mlb
MLB,33.89074, -84.46815,Atlanta Braves, 1,#CE1141,#13274F,mlb
MLB,39.28389, -76.62192,Baltimore Orioles, 1,#DF4601,#FC4C02,mlb
MLB,42.34670, -71.09740,Boston Red Sox, 1,#BD3039,#0C2340,mlb
MLB,41.94814, -87.65538,Chicago Cubs, 1,#0E3386,#CC3433,mlb
MLB,41.83005, -87.63386,Chicago White Sox, 1,#27251F,#C4CED4,mlb
MLB,39.09736, -84.50675,Cincinnati Reds, 1,#C6011F,#111111,mlb
MLB,41.49619, -81.68521,Cleveland Guardians, 1,#00385D,#E50022,mlb
MLB,39.75613,-104.99442,Colorado Rockies, 1,#333366,#C4CED4,mlb
MLB,42.33915, -83.04867,Detroit Tigers, 1,#0C2340,#FA4616,mlb
MLB,29.75713, -95.35554,Houston Astros, 1,#002D62,#EB6E1F,mlb
MLB,39.05156, -94.48055,Kansas City Royals, 1,#004687,#BD9B60,mlb
MLB,33.80042,-117.88274,Los Angeles Angels, 1,#003263,#BA0021,mlb
MLB,34.07399,-118.24022,Los Angeles Dodgers, 1,#005A9C,#EF3E42,mlb
MLB,25.77779, -80.21987,Miami Marlins, 1,#00A3E0,#EF3340,mlb
MLB,43.02879, -87.97094,Milwaukee Brewers, 1,#ffc52f,#12284b,mlb
MLB,44.98173, -93.27782,Minnesota Twins, 1,#002B5C,#D31145,mlb
MLB,40.75713, -73.84583,New York Mets, 1,#002D72,#FF5910,mlb
MLB,40.82956, -73.92655,New York Yankees, 1,#003087,#E4002C,mlb
MLB,39.90592, -75.16641,Philadelphia Phillies, 1,#E81828,#002d72,mlb
MLB,40.44686, -80.00567,Pittsburgh Pirates, 1,#27251F,#FDB827,mlb
MLB,32.70759,-117.15735,San Diego Padres, 1,#2F241D,#FFC425,mlb
MLB,37.77844,-122.38927,San Francisco Giants, 1,#FD5A1E,#27251F,mlb
MLB,47.59124,-122.33196,Seattle Mariners, 1,#0C2C56,#005C5C,mlb
MLB,38.62272, -90.19317,St. Louis Cardinals, 1,#C41E3A,#0C2340,mlb
MLB,27.76806, -82.65318,Tampa Bay Rays, 1,#092C5C,#8FBCE6,mlb
MLB,32.75130, -97.08279,Texas Rangers, 1,#003278,#C0111F,mlb
MLB,43.64129, -79.38932,Toronto Blue Jays, 1,#134A8E,#1D2D5C,mlb
MLB,38.87334, -77.00750,Washington Nationals, 1,#AB0003,#14225A,mlb
NFL,33.52770,-112.26261,Arizona Cardinals, 2,#97233F,#FFB612,nfl
NFL,33.75542, -84.40084,Atlanta Falcons, 2,#a71930,#a5acaf,nfl
NFL,39.27797, -76.62277,Baltimore Ravens, 2,#241773,#9E7C0C,nfl
NFL,42.77374, -78.78698,Buffalo Bills, 2,#00338D,#C60C30,nfl
NFL,35.22581, -80.85286,Carolina Panthers, 2,#0085CA,#101820,nfl
NFL,41.86231, -87.61667,Chicago Bears, 2,#0085CA,#101820,nfl
